Date,Price,Open,High,Low,Volume,%Change
1/1/21,1898.10,1897.69,1899.12,1897.39,,0.09%
4/1/21,1942.28,1906.05,1944.65,1905.36,,2.33%
5/1/21,1949.35,1942.65,1953.17,1934.08,,0.36%
6/1/21,1918.81,1950.30,1959.60,1901.11,,-1.57%
7/1/21,1912.50,1919.40,1927.97,1906.86,,-0.33%
8/1/21,1848.26,1912.90,1917.85,1828.74,,-3.36%
11/1/21,1844.66,1849.34,1857.05,1817.14,,-0.19%
12/1/21,1855.63,1845.34,1864.08,1837.41,,0.59%
13/01/2021,1843.41,1856.19,1863.26,1843.34,,-0.66%
14/01/2021,1846.37,1843.94,1857.59,1833.21,,0.16%
15/01/2021,1826.59,1846.80,1856.85,1823.21,,-1.07%
18/01/2021,1836.89,1828.94,1840.95,1810.46,,0.56%
19/01/2021,1839.34,1838.09,1845.98,1833.06,,0.13%
20/01/2021,1870.91,1840.05,1872.03,1832.46,,1.72%
21/01/2021,1869.91,1871.07,1875.45,1858.16,,-0.05%
22/01/2021,1852.55,1870.09,1871.17,1837.09,,-0.93%
25/01/2021,1854.99,1855.75,1868.45,1847.30,,0.13%
26/01/2021,1850.31,1855.55,1861.86,1848.36,,-0.25%
27/01/2021,1843.99,1850.65,1853.58,1831.29,,-0.34%
28/01/2021,1840.36,1844.34,1864.26,1833.81,,-0.20%
29/01/2021,1846.09,1840.90,1876.03,1839.56,,0.31%
1/2/21,1860.16,1863.05,1871.84,1849.04,,0.76%
2/2/21,1837.35,1860.84,1864.26,1829.46,,-1.23%
3/2/21,1833.76,1837.49,1845.29,1829.49,,-0.20%
4/2/21,1792.26,1834.34,1835.13,1785.15,,-2.26%
5/2/21,1811.62,1792.49,1815.32,1791.80,,1.08%
8/2/21,1830.16,1815.44,1839.15,1807.48,,1.02%
9/2/21,1837.06,1830.59,1849.15,1828.63,,0.38%
10/2/21,1842.22,1837.55,1855.70,1833.91,,0.28%
11/2/21,1825.36,1842.65,1847.95,1820.63,,-0.91%
12/2/21,1823.46,1825.90,1830.80,1810.33,,-0.10%
15/02/2021,1818.51,1825.34,1827.59,1815.71,,-0.27%
16/02/2021,1794.31,1819.34,1826.75,1789.19,,-1.33%
