Date,Price,Open,High,Low,Volume,%Change
8/12/21,72.36,71.86,73.00,70.91,464.85K,0.43%
9/12/21,70.94,72.52,73.34,70.39,393.21K,-1.96%
10/12/21,71.67,70.68,72.33,70.32,397.88K,1.03%
13/12/2021,71.29,72.04,73.00,70.71,406.60K,-0.53%
14/12/2021,70.73,71.12,72.03,69.51,359.45K,-0.79%
15/12/2021,70.87,70.35,71.66,69.39,294.34K,0.20%
16/12/2021,72.38,71.48,72.99,71.03,142.54K,2.13%
17/12/2021,70.86,71.92,72.26,69.89,78.13K,-2.10%
20/12/2021,68.23,70.07,70.07,66.04,36.73K,-3.71%
21/12/2021,71.12,69.21,71.55,68.56,358.78K,4.24%
22/12/2021,72.76,71.27,73.16,70.80,306.71K,2.31%
23/12/2021,73.79,73.03,73.95,72.27,270.22K,1.42%
27/12/2021,75.57,73.38,76.09,72.57,268.49K,2.41%
28/12/2021,75.98,75.97,76.92,75.53,249.73K,0.54%
29/12/2021,76.56,76.04,77.37,75.36,283.56K,0.76%
30/12/2021,76.99,76.58,77.44,75.78,231.16K,0.56%
31/12/2021,75.21,76.66,77.08,74.95,237.12K,-2.31%
